date,spx,dax,ftse,nikkei
1994-01-07,469.9,2224.95,3445.98,18124.01
1994-01-10,475.27,2225.0,3440.58,18443.44
1994-01-11,474.13,2228.1,3413.77,18485.25
1994-01-12,474.17,2182.06,3372.02,18793.88
1994-01-13,472.47,2142.37,3360.01,18577.26
1994-01-14,474.91,2151.05,3400.56,18973.7
1994-01-17,473.3,2115.56,3407.83,18725.37
1994-01-18,474.25,2130.35,3437.01,18514.55
1994-01-19,474.3,2132.52,3475.15,19039.4
1994-01-20,474.98,2098.36,3469.99,19183.92
1994-01-21,474.72,2073.94,3484.21,19307.43
1994-01-24,471.97,2107.29,3481.42,18353.24
1994-01-25,470.92,2090.78,3443.97,18648.36
1994-01-26,473.2,2128.66,3436.08,19138.21
1994-01-27,477.05,2123.31,3427.25,18891.79
1994-01-28,478.7,2156.61,3447.45,18757.88
1994-01-31,481.61,2192.6,3491.83,20229.12
1994-02-01,479.62,2181.88,3481.47,20416.34
1994-02-02,482.0,2184.05,3520.27,20250.03
1994-02-03,480.71,2137.08,3491.48,20174.82
1994-02-04,469.81,2143.9,3475.44,20301.43
1994-02-07,471.76,2095.11,3419.07,20014.4
1994-02-08,471.05,2099.57,3440.2,20251.23
1994-02-09,472.77,2116.43,3429.11,19841.38
1994-02-10,468.93,2119.69,3406.95,19990.7
1994-02-11,470.18,2108.77,3378.87,19990.7
1994-02-14,470.23,2101.93,3363.53,19459.25
1994-02-15,472.52,2130.71,3393.16,18974.6
1994-02-16,472.79,2135.25,3417.73,19052.11
1994-02-17,470.34,2162.29,3425.3,18931.39
1994-02-18,467.69,2133.85,3382.6,18959.6
1994-02-21,467.69,2108.06,3350.26,19393.94
1994-02-22,471.46,2113.64,3333.75,19342.63
1994-02-23,470.69,2140.25,3341.86,19341.83
1994-02-24,464.26,2082.9,3267.46,19765.48
1994-02-25,466.07,2075.33,3281.2,19803.38
1994-02-28,467.14,2103.24,3328.1,19997.2
1994-03-01,464.44,2056.61,3270.6,20216.62
1994-03-02,464.81,2018.69,3248.09,19744.77
1994-03-03,463.01,2044.45,3246.5,19605.86
1994-03-04,464.74,2076.76,3278.0,19966.0
1994-03-07,466.91,2132.12,3305.91,19811.88
1994-03-08,465.88,2125.47,3264.4,19898.39
1994-03-09,467.06,2118.01,3246.7,19839.18
1994-03-10,463.9,2124.51,3233.9,20090.71
1994-03-11,466.44,2101.89,3191.9,20115.31
1994-03-14,467.39,2169.68,3233.4,20526.15
1994-03-15,467.01,2178.91,3267.4,20508.85
1994-03-16,469.42,2168.11,3242.9,20677.77
1994-03-17,470.9,2160.45,3255.7,20592.16
1994-03-18,471.06,2140.95,3218.1,20469.45
1994-03-21,468.54,2130.55,3197.98,20469.45
1994-03-22,468.8,2141.7,3201.52,20253.53
1994-03-23,468.54,2162.96,3155.3,19962.1
1994-03-24,464.35,2144.36,3121.71,20037.9
1994-03-25,460.58,2144.0,3128.98,19836.48
1994-03-28,460.0,2167.72,3129.5,19941.79
1994-03-29,452.48,2162.82,3123.4,19709.74
1994-03-30,445.55,2151.84,3092.4,19559.91
1994-03-31,445.77,2142.88,3086.4,19111.92
1994-04-01,445.77,2142.88,3086.4,19277.16
1994-04-04,438.92,2142.88,3086.4,19122.22
1994-04-05,448.29,2177.09,3116.2,19563.21
1994-04-06,448.05,2184.89,3131.5,19696.74
1994-04-07,450.88,2184.89,3129.0,19890.98
1994-04-08,447.1,2203.18,3120.8,19934.99
1994-04-11,449.87,2224.85,3149.4,19898.08
1994-04-12,447.57,2211.19,3159.1,19648.33
1994-04-13,446.26,2215.19,3145.8,20060.41
1994-04-14,446.38,2198.24,3131.7,19987.2
1994-04-15,446.18,2211.92,3168.3,20164.63
1994-04-18,442.46,2218.37,3138.16,20277.36
1994-04-19,442.54,2193.89,3128.01,20192.34
1994-04-20,441.96,2194.09,3098.34,19882.18
1994-04-21,448.73,2194.41,3101.24,19799.36
1994-04-22,447.63,2218.13,3133.7,19964.39
1994-04-25,452.71,2208.68,3106.1,19709.14
1994-04-26,451.87,2241.36,3125.3,19628.93
1994-04-27,451.87,2256.98,3150.0,19729.15
1994-04-28,449.1,2237.82,3129.9,19725.25
1994-04-29,450.91,2252.51,3125.34,19725.25
1994-05-02,453.02,2266.72,3125.34,19570.21
1994-05-03,453.03,2261.71,3100.0,19570.21
1994-05-04,451.72,2241.85,3070.5,19570.21
1994-05-05,451.38,2249.78,3106.0,19570.21
1994-05-06,447.82,2233.55,3106.0,19862.47
1994-05-09,442.32,2218.77,3097.8,19786.96
1994-05-10,446.01,2241.34,3136.3,19917.78
1994-05-11,441.49,2248.02,3130.5,20150.13
1994-05-12,443.75,2248.02,3137.8,20224.24
1994-05-13,444.14,2257.33,3119.2,20270.75
1994-05-16,444.49,2272.96,3115.6,20188.44
1994-05-17,449.37,2268.11,3123.51,20133.53
1994-05-18,453.69,2254.21,3116.51,20152.73
1994-05-19,456.48,2245.79,3122.81,20221.34
1994-05-20,454.92,2238.97,3127.28,20342.17
1994-05-23,453.2,2238.97,3108.4,20568.71
1994-05-24,454.81,2188.01,3089.1,20622.12
1994-05-25,456.34,2137.56,3020.7,20663.63
1994-05-26,457.06,2146.0,3019.7,20495.8
1994-05-27,457.33,2112.8,2966.4,20777.16
1994-05-30,457.33,2129.76,2966.4,20838.97
1994-05-31,456.5,2137.34,2970.5,20973.59
1994-06-01,457.63,2113.62,2931.9,21053.11
1994-06-02,457.65,2113.62,2980.8,21009.0
1994-06-03,460.13,2158.88,2997.8,20954.19
1994-06-06,458.88,2163.59,3009.4,20726.65
1994-06-07,458.21,2131.8,3004.8,21042.71
1994-06-08,457.06,2144.17,3038.2,21261.95
